#options: 1280x720 fps=19/1 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0x111 me=hex subme=5 brdo=0 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 chroma_qp_offset=0 threads=1 nr=0 decimate=1 mbaff=0 bframes=0 keyint=250 keyint_min=25 scenecut=40 rc=abr bitrate=10000 ratetol=1.0 rceq='blurCplx^(1-qComp)' qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40
in:0 out:0 type:I q:10.00 itex:74338 ptex:0 mv:4186 misc:4228 imb:3600 pmb:0 smb:0 d:-;
in:1 out:1 type:P q:10.00 itex:1697 ptex:1728 mv:174 misc:329 imb:3 pmb:6 smb:3591 d:-;
in:2 out:2 type:P q:10.00 itex:2704 ptex:2450 mv:260 misc:322 imb:6 pmb:6 smb:3588 d:-;
in:3 out:3 type:P q:10.00 itex:4987 ptex:2635 mv:374 misc:348 imb:7 pmb:10 smb:3583 d:-;
in:4 out:4 type:P q:10.00 itex:6517 ptex:2314 mv:362 misc:311 imb:8 pmb:5 smb:3587 d:-;
in:5 out:5 type:P q:10.00 itex:8589 ptex:5600 mv:768 misc:403 imb:16 pmb:40 smb:3544 d:-;
in:6 out:6 type:P q:10.00 itex:10485 ptex:2912 mv:553 misc:330 imb:14 pmb:5 smb:3581 d:-;
in:7 out:7 type:P q:10.00 itex:7864 ptex:5721 mv:551 misc:336 imb:11 pmb:9 smb:3580 d:-;
in:8 out:8 type:P q:10.00 itex:41782 ptex:6937 mv:2362 misc:407 imb:70 pmb:18 smb:3512 d:-;
in:9 out:9 type:P q:10.00 itex:32640 ptex:19623 mv:2520 misc:513 imb:57 pmb:75 smb:3468 d:-;
in:10 out:10 type:P q:10.00 itex:30252 ptex:24993 mv:2917 misc:774 imb:189 pmb:140 smb:3271 d:-;
in:11 out:11 type:P q:10.00 itex:32228 ptex:29195 mv:2861 misc:716 imb:197 pmb:121 smb:3282 d:-;
in:12 out:12 type:P q:10.00 itex:1913 ptex:2540 mv:663 misc:620 imb:155 pmb:40 smb:3405 d:-;
in:13 out:13 type:P q:10.00 itex:1554 ptex:1938 mv:703 misc:573 imb:157 pmb:23 smb:3420 d:-;
in:14 out:14 type:P q:10.00 itex:2146 ptex:1192 mv:680 misc:526 imb:158 pmb:16 smb:3426 d:-;
in:15 out:15 type:P q:10.00 itex:1819 ptex:1202 mv:673 misc:530 imb:157 pmb:16 smb:3427 d:-;
in:16 out:16 type:P q:10.00 itex:1506 ptex:1200 mv:682 misc:524 imb:156 pmb:16 smb:3428 d:-;
in:17 out:17 type:P q:10.00 itex:1824 ptex:1093 mv:685 misc:526 imb:157 pmb:16 smb:3427 d:-;
in:18 out:18 type:P q:10.00 itex:1507 ptex:986 mv:696 misc:531 imb:157 pmb:16 smb:3427 d:-;
in:19 out:19 type:P q:10.00 itex:1737 ptex:396 mv:678 misc:525 imb:159 pmb:12 smb:3429 d:-;
in:20 out:20 type:P q:10.00 itex:1456 ptex:1869 mv:355 misc:544 imb:161 pmb:13 smb:3426 d:-;
in:21 out:21 type:P q:10.00 itex:1342 ptex:389 mv:166 misc:367 imb:7 pmb:13 smb:3580 d:-;
in:22 out:22 type:P q:10.00 itex:864 ptex:396 mv:148 misc:368 imb:7 pmb:12 smb:3581 d:-;
in:23 out:23 type:P q:10.00 itex:850 ptex:862 mv:144 misc:368 imb:6 pmb:14 smb:3580 d:-;
in:24 out:24 type:P q:10.00 itex:755 ptex:623 mv:146 misc:364 imb:7 pmb:13 smb:3580 d:-;
in:25 out:25 type:P q:10.00 itex:419 ptex:906 mv:109 misc:374 imb:4 pmb:14 smb:3582 d:-;
in:26 out:26 type:P q:10.00 itex:823 ptex:734 mv:120 misc:363 imb:4 pmb:15 smb:3581 d:-;
in:27 out:27 type:P q:10.00 itex:580 ptex:625 mv:122 misc:377 imb:5 pmb:14 smb:3581 d:-;
in:28 out:28 type:P q:10.00 itex:381 ptex:765 mv:103 misc:359 imb:3 pmb:13 smb:3584 d:-;
in:29 out:29 type:P q:10.00 itex:7 ptex:1248 mv:88 misc:369 imb:3 pmb:16 smb:3581 d:-;
in:30 out:30 type:P q:10.00 itex:8 ptex:2396 mv:104 misc:372 imb:3 pmb:15 smb:3582 d:-;
in:31 out:31 type:P q:10.00 itex:549 ptex:662 mv:106 misc:371 imb:3 pmb:13 smb:3584 d:-;
in:32 out:32 type:P q:10.00 itex:601 ptex:774 mv:108 misc:365 imb:3 pmb:14 smb:3583 d:-;
in:33 out:33 type:P q:10.00 itex:7 ptex:1287 mv:84 misc:366 imb:3 pmb:15 smb:3582 d:-;
in:34 out:34 type:P q:10.00 itex:761 ptex:637 mv:107 misc:359 imb:4 pmb:12 smb:3584 d:-;
